gene	gene_class	nonsyn_abnormal_n	nonsyn_abnormal_rate	nonsyn_normal_n	nonsyn_normal_rate	nonsyn_control_n	nonsyn_control_rate	nonsyn_rate_ab_minus_normal	nonsyn_rate_ab_minus_control	rare_abnormal_n	rare_abnormal_rate	rare_normal_n	rare_normal_rate	rare_control_n	rare_control_rate	rare_rate_ab_minus_normal	rare_rate_ab_minus_control
TAF5	histone_write	30	0.6382978723404256	276	0.6160714285714286	98	0.6405228758169934	0.022226443768996962	-0.002225003476567844	0	0.0	5	0.011160714285714286	1	0.006535947712418301	-0.011160714285714286	-0.006535947712418301
USP17L2	histone_erase	30	0.6382978723404256	277	0.6183035714285714	85	0.5555555555555556	0.019994300911854168	0.08274231678486998	3	0.06382978723404255	14	0.03125	8	0.05228758169934641	0.03257978723404255	0.011542205534696141
CTCFL	chromatin_remodeling	29	0.6170212765957447	263	0.5870535714285714	97	0.6339869281045751	0.029967705167173286	-0.016965651508830448	0	0.0	3	0.006696428571428571	3	0.0196078431372549	-0.006696428571428571	-0.0196078431372549
EID2	histone_write	29	0.6170212765957447	298	0.6651785714285714	104	0.6797385620915033	-0.048157294832826714	-0.06271728549575861	0	0.0	0	0.0	0	0.0	0.0	0.0
KMT2B	histone_write	29	0.6170212765957447	302	0.6741071428571429	110	0.7189542483660131	-0.05708586626139822	-0.10193297177026839	5	0.10638297872340426	37	0.08258928571428571	13	0.08496732026143791	0.023793693009118544	0.021415658461966344
MYO1C	chromatin_remodeling	29	0.6170212765957447	315	0.703125	121	0.7908496732026143	-0.08610372340425532	-0.17382839660686966	2	0.0425531914893617	24	0.05357142857142857	9	0.058823529411764705	-0.011018237082066867	-0.016270337922403004
NBN	chromatin_remodeling	29	0.6170212765957447	292	0.6517857142857143	114	0.7450980392156863	-0.03476443768996962	-0.1280767626199416	4	0.0851063829787234	19	0.04241071428571429	11	0.0718954248366013	0.042695668693009114	0.0132109581421221
TRIM16	histone_write	29	0.6170212765957447	268	0.5982142857142857	100	0.6535947712418301	0.018806990881458985	-0.03657349464608539	10	0.2127659574468085	76	0.16964285714285715	34	0.2222222222222222	0.04312310030395136	-0.009456264775413697
CTBP2	histone_write	28	0.5957446808510638	261	0.5825892857142857	96	0.6274509803921569	0.013155395136778103	-0.03170629954109305	3	0.06382978723404255	8	0.017857142857142856	5	0.032679738562091505	0.04597264437689969	0.031150048671951043
PRKAG3	histone_write	28	0.5957446808510638	240	0.5357142857142857	77	0.5032679738562091	0.0600303951367781	0.09247670699485466	2	0.0425531914893617	3	0.006696428571428571	1	0.006535947712418301	0.03585676291793313	0.0360172437769434
ATR	histone_write	27	0.574468085106383	283	0.6316964285714286	91	0.5947712418300654	-0.05722834346504557	-0.020303156723682325	0	0.0	14	0.03125	1	0.006535947712418301	-0.03125	-0.006535947712418301
TET2	dna_modification	27	0.574468085106383	258	0.5758928571428571	90	0.5882352941176471	-0.0014247720364740646	-0.013767209011264048	2	0.0425531914893617	29	0.06473214285714286	8	0.05228758169934641	-0.022178951367781162	-0.009734390209984706
APOBEC3H	dna_modification	26	0.5531914893617021	247	0.5513392857142857	94	0.6143790849673203	0.0018522036474164505	-0.06118759560561815	0	0.0	6	0.013392857142857142	2	0.013071895424836602	-0.013392857142857142	-0.013071895424836602
ATRX	chromatin_remodeling	26	0.5531914893617021	250	0.5580357142857143	77	0.5032679738562091	-0.004844224924012153	0.04992351550549301	1	0.02127659574468085	13	0.029017857142857144	3	0.0196078431372549	-0.007741261398176293	0.0016687526074259489
IKZF1	chromatin_remodeling	26	0.5531914893617021	305	0.6808035714285714	117	0.7647058823529411	-0.12761208206686925	-0.21151439299123898	0	0.0	3	0.006696428571428571	0	0.0	-0.006696428571428571	0.0
BRMS1	chromatin_remodeling	25	0.5319148936170213	208	0.4642857142857143	80	0.5228758169934641	0.06762917933130697	0.009039076623557185	0	0.0	2	0.004464285714285714	1	0.006535947712418301	-0.004464285714285714	-0.006535947712418301
CHUK	histone_write	25	0.5319148936170213	293	0.6540178571428571	110	0.7189542483660131	-0.12210296352583583	-0.1870393547489918	4	0.0851063829787234	53	0.11830357142857142	19	0.12418300653594772	-0.03319718844984802	-0.03907662355722431
HR	histone_erase	25	0.5319148936170213	254	0.5669642857142857	93	0.6078431372549019	-0.03504939209726443	-0.07592824363788064	1	0.02127659574468085	25	0.05580357142857143	5	0.032679738562091505	-0.034526975683890584	-0.011403142817410655
PHC1	polycomb	25	0.5319148936170213	264	0.5892857142857143	86	0.5620915032679739	-0.057370820668693034	-0.03017660965095259	0	0.0	2	0.004464285714285714	1	0.006535947712418301	-0.004464285714285714	-0.006535947712418301
PRDM6	histone_write	25	0.5319148936170213	244	0.5446428571428571	89	0.5816993464052288	-0.012727963525835828	-0.049784452788207534	0	0.0	11	0.024553571428571428	4	0.026143790849673203	-0.024553571428571428	-0.026143790849673203
SPEN	histone_erase	25	0.5319148936170213	218	0.48660714285714285	86	0.5620915032679739	0.04530775075987842	-0.03017660965095259	1	0.02127659574468085	13	0.029017857142857144	11	0.0718954248366013	-0.007741261398176293	-0.05061882909192045
TRIM33	histone_read	25	0.5319148936170213	307	0.6852678571428571	110	0.7189542483660131	-0.15335296352583583	-0.1870393547489918	1	0.02127659574468085	2	0.004464285714285714	3	0.0196078431372549	0.016812310030395135	0.0016687526074259489
UBR2	histone_write	25	0.5319148936170213	263	0.5870535714285714	80	0.5228758169934641	-0.05513867781155013	0.009039076623557185	2	0.0425531914893617	12	0.026785714285714284	2	0.013071895424836602	0.015767477203647417	0.029481296064525098
APEX1	dna_modification	24	0.5106382978723404	195	0.43526785714285715	72	0.47058823529411764	0.07537044072948323	0.040050062578222745	4	0.0851063829787234	26	0.05803571428571429	11	0.0718954248366013	0.027070668693009114	0.0132109581421221
BAZ2B	histone_read	24	0.5106382978723404	245	0.546875	80	0.5228758169934641	-0.036236702127659615	-0.012237519121123697	2	0.0425531914893617	27	0.060267857142857144	6	0.0392156862745098	-0.017714665653495443	0.0033375052148518977
CBX8	histone_read	24	0.5106382978723404	263	0.5870535714285714	87	0.5686274509803921	-0.07641527355623101	-0.05798915310805175	0	0.0	13	0.029017857142857144	5	0.032679738562091505	-0.029017857142857144	-0.032679738562091505
CDK7	histone_write	24	0.5106382978723404	277	0.6183035714285714	106	0.6928104575163399	-0.10766527355623101	-0.18217215964399947	0	0.0	0	0.0	0	0.0	0.0	0.0
CDYL	histone_write	24	0.5106382978723404	232	0.5178571428571429	82	0.5359477124183006	-0.007218844984802519	-0.02530941454596025	0	0.0	4	0.008928571428571428	3	0.0196078431372549	-0.008928571428571428	-0.0196078431372549
